================================================================================
Model 1: vision_transformer_qkv_fusion
================================================================================


Model Overall Times:
--------------------------------------------------
  Overall Times:
    Start: 0.00 μs
    End: 61306.69 μs
    Duration: 61306.69 μs

Input Start/End Times:
--------------------------------------------------
  Input Times Table:

  +-------+--------------------+--------------------+
  | Input | Start (μs)         | End (μs)           |
  +-------+--------------------+--------------------+
  | 0     | 0.00               | 18581.45           |
  | 1     | 18581.45           | 23328.69           |
  | 2     | 23328.69           | 28075.94           |
  | 3     | 28075.94           | 32823.19           |
  | 4     | 32823.19           | 37570.44           |
  | 5     | 37570.44           | 42317.69           |
  | 6     | 42317.69           | 47064.94           |
  | 7     | 47064.94           | 51812.19           |
  | 8     | 51812.19           | 56559.44           |
  | 9     | 56559.44           | 61306.69           |
  +-------+--------------------+--------------------+

Summed Time Per Input:
--------------------------------------------------
  Summed Time Table:

  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | Input | Compute (μs)      | Activation Communication (μs) | Weight Loading (μs) | Total (μs)        |
  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | 0     | 210.32            | 4536.93                       | 13834.20            | 18581.45          |
  | 1     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 2     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 3     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 4     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 5     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 4     | 22    | 1.84                 | 42.02                        |
  | 4     | 23    | 5.51                 | 177.56                       |
  | 4     | 24    | 5.51                 | 47.28                        |
  | 4     | 25    | 4.59                 | 15.76                        |
  | 4     | 26    | 0.46                 | -1                           |
  | 4     | 27    | 0.46                 | 47.28                        |
  | 4     | 28    | 1.84                 | 44.12                        |
  | 4     | 29    | 5.51                 | 177.56                       |
  | 4     | 30    | 5.51                 | 47.28                        |
  | 4     | 31    | 4.59                 | 15.76                        |
  | 4     | 32    | 0.46                 | -1                           |
  | 4     | 33    | 0.46                 | 47.28                        |
  | 4     | 34    | 1.84                 | 44.12                        |
  | 4     | 35    | 5.51                 | 177.56                       |
  | 4     | 36    | 5.51                 | 47.28                        |
  | 4     | 37    | 4.59                 | 137.90                       |
  | 4     | 38    | 0.46                 | 12.12                        |
  | 4     | 39    | 0.46                 | 28.89                        |
  | 4     | 40    | 1.84                 | 47.28                        |
  | 4     | 41    | 2.75                 | 204.88                       |
  | 4     | 42    | 2.75                 | 39.40                        |
  | 4     | 43    | 4.59                 | -1                           |
  | 4     | 44    | 0.46                 | -1                           |
  | 4     | 45    | 0.46                 | 47.28                        |
  | 4     | 46    | 1.84                 | 45.96                        |
  | 4     | 47    | 4.59                 | 309.59                       |
  | 4     | 48    | 5.51                 | 44.39                        |
  | 4     | 49    | 4.59                 | -1                           |
  | 4     | 50    | 0.46                 | -1                           |
  | 4     | 51    | 0.46                 | 47.28                        |
  | 4     | 52    | 1.84                 | 46.49                        |
  | 4     | 53    | 4.59                 | 312.04                       |
  | 4     | 54    | 5.51                 | 45.17                        |
  | 4     | 55    | 4.59                 | -1                           |
  | 4     | 56    | 0.46                 | -1                           |
  | 4     | 57    | 0.46                 | 47.28                        |
  | 4     | 58    | 1.84                 | 46.49                        |
  | 4     | 59    | 4.59                 | 174.41                       |
  | 4     | 60    | 5.51                 | 47.28                        |
  | 4     | 61    | 4.59                 | 15.76                        |
  | 4     | 62    | 0.46                 | -1                           |
  | 4     | 63    | 0.46                 | 47.28                        |
  | 4     | 64    | 1.84                 | 44.12                        |
  | 4     | 65    | 5.51                 | 177.56                       |
  | 4     | 66    | 5.51                 | 47.28                        |
  | 4     | 67    | 4.59                 | 15.76                        |
  | 4     | 68    | 0.46                 | -1                           |
  | 4     | 69    | 0.46                 | 47.28                        |
  | 4     | 70    | 1.84                 | 44.12                        |
  | 4     | 71    | 5.51                 | 177.56                       |
  | 4     | 72    | 5.51                 | 47.28                        |
  | 4     | 73    | 0.01                 | -1                           |
  | 5     | 0     | 1.83                 | -1                           |
  | 5     | 1     | 4.59                 | 141.84                       |
  | 5     | 2     | 0.46                 | 12.12                        |
  | 5     | 3     | 0.46                 | 2.62                         |
  | 5     | 4     | 1.84                 | 47.28                        |
  | 5     | 5     | 2.75                 | 155.49                       |
  | 5     | 6     | 5.51                 | 47.28                        |
